"report_year","report_month","month_name","total_orders","total_qty","total_sales","total_discount","total_profit"
2014,1,"Jan 2014","28","269","13275.131","9.450000000000001","2424.1125"
2014,2,"Feb 2014","30","163","5406.527999999998","8.05","866.1925000000001"
2014,3,"Mar 2014","60","527","50708.34899999999","23.14999999999997","123.41219999999925"
2014,4,"Apr 2014","69","543","30388.465","17.19999999999999","3313.2568000000006"
2014,5,"May 2014","70","468","22478.88","18.649999999999988","2636.2171"
2014,6,"Jun 2014","65","506","35991.655600000006","21.419999999999995","5316.866000000002"
2014,7,"Jul 2014","70","564","32990.594000000005","27.649999999999974","-1047.8992999999994"
2014,8,"Aug 2014","71","621","30245.24199999998","18.69999999999998","6161.534600000003"
2014,9,"Sep 2014","118","913","73126.6533","40.61999999999998","6835.885600000009"
2014,10,"Oct 2014","88","615","35741.477000000006","27.349999999999966","4567.775399999998"
2014,11,"Nov 2014","141","1198","80182.1947","46.47000000000003","9415.3468"
2014,12,"Dec 2014","134","978","59848.02349999996","49.85000000000003","6680.0253"
2015,1,"Jan 2015","50","421","29594.760599999983","16.819999999999997","-1455.5695"
2015,2,"Feb 2015","36","237","12679.076999999997","8.000000000000002","3158.6857000000005"
2015,3,"Mar 2015","73","498","39269.662","17.93999999999999","9762.914099999998"
2015,4,"Apr 2015","70","491","25515.253499999977","25.649999999999984","1558.4000000000003"
2015,5,"May 2015","71","546","32587.9535","26.649999999999977","5562.960499999997"
2015,6,"Jun 2015","74","571","29850.829999999987","23.99999999999997","5222.5484"
2015,7,"Jul 2015","69","579","30400.226999999984","25.649999999999977","2940.2336000000005"
2015,8,"Aug 2015","64","522","28116.3142","22.86999999999998","3650.460200000001"
2015,9,"Sep 2015","140","1086","69615.83499999999","38.90000000000003","8713.57739999999"
2015,10,"Oct 2015","87","617","32575.715499999995","28.349999999999966","3601.8"
2015,11,"Nov 2015","144","1241","70634.85","48.240000000000066","12362.337600000008"
2015,12,"Dec 2015","174","1300","78602.02369999998","47.920000000000044","7803.1819000000005"
2016,1,"Jan 2016","50","401","19130.05699999999","12.299999999999992","3445.7652999999996"
2016,2,"Feb 2016","49","328","26954.084999999992","9.699999999999998","5274.3035"
2016,3,"Mar 2016","85","540","48795.909999999974","29.21999999999997","3718.031400000002"
2016,4,"Apr 2016","88","668","41028.297999999995","27.29999999999997","2831.808400000001"
2016,5,"May 2016","96","688","46520.18400000001","36.29999999999999","6356.638099999997"
2016,6,"Jun 2016","106","879","48272.722000000045","33.79999999999998","6663.710699999999"
2016,7,"Jul 2016","96","761","37595.94699999996","29.14999999999996","4801.1517"
2016,8,"Aug 2016","87","616","32031.579299999998","29.169999999999977","2076.1467000000016"
2016,9,"Sep 2016","182","1337","70460.80059999997","55.17000000000008","9359.323099999994"
2016,10,"Oct 2016","110","779","60858.1993","32.31999999999997","15629.3249"
2016,11,"Nov 2016","184","1400","74926.1448","54.270000000000074","13670.24229999999"
2016,12,"Dec 2016","172","1428","105013.78600000002","47.520000000000074","11115.56919999999"
2017,1,"Jan 2017","79","613","42297.043999999994","29.199999999999978","6359.208099999999"
2017,2,"Feb 2017","57","403","23506.782399999996","20.76999999999998","2058.036"
2017,3,"Mar 2017","109","822","52891.38499999999","28.299999999999972","13157.426499999994"
2017,4,"Apr 2017","111","726","40021.6803","37.789999999999964","2678.0235"
2017,5,"May 2017","122","907","44774.932399999976","37.38999999999999","5910.019699999997"
2017,6,"Jun 2017","129","880","47220.498100000004","43.589999999999996","7195.146599999998"
2017,7,"Jul 2017","113","858","47183.87300000001","32.49999999999996","6639.398600000004"
2017,8,"Aug 2017","112","893","63760.020000000004","29.89999999999995","10155.059000000001"
2017,9,"Sep 2017","226","1664","91427.86700000003","67.05000000000014","11237.475300000006"
2017,10,"Oct 2017","149","1111","75551.6612","52.32000000000007","8825.843399999994"
2017,11,"Nov 2017","252","1765","105200.51300000012","73.29000000000022","8689.776499999996"
2017,12,"Dec 2017","229","1783","97053.45900000003","65.60000000000015","9441.461999999992"
2018,1,"Jan 2018","20","151","5159.6968","7.62","934.7894000000001"
